Vehicle_ID,Global_Time,Local_X,Local_Y,v_Vel,v_Acc,Lane_ID,Distance_l,Distance_r,Phi,v_Vel_X,v_Vel_Y,v_Acc_X,v_Acc_Y
12,1.11885E+12,23.122,882.58,35.02,-0.95,2,3.122,6.878,0.173204059,6.035323922,34.49601811,-0.163722379,-0.935785757
14,1.11885E+12,58.888,2122.542,50.09,0,5,8.888,1.112,0.0006,0.030053995,50.08999098,0,0
14,1.11885E+12,38.969,82.389,25,0,4,8.969,1.031,0.009763173,0.244075453,24.99880852,0,0
14,1.11885E+12,43.243,2166.859,48.68,0,4,3.243,6.757,0.0009998,0.048670242,48.67997567,0,0
14,1.11885E+12,4.912,68.639,27.39,0,1,4.912,5.088,0.01826631,0.500286406,27.38543068,0,0
16,1.11885E+12,56.188,2163.395,59.94,0,5,6.188,3.812,0.000666667,0.039959991,59.93998668,0,0
16,1.11885E+12,16.871,71.196,25,0,2,6.871,3.129,0.018789978,0.469721804,24.99558684,0,0
18,1.11885E+12,66.928,1417.703,65,0,8,6.928,3.072,0.003385123,0.220032591,64.99962758,0,0
18,1.11885E+12,16.58,81.286,15.4,0,2,6.58,3.42,0.037656061,0.579766303,15.38908285,0,0
20,1.11885E+12,46.452,2106.341,54.02,8.92,5,6.452,3.548,0.000187477,0.010127484,54.01999905,0.001672291,8.919999843
20,1.11885E+12,46.452,2111.81,54.71,4.77,4,6.452,3.548,0,0,54.71,0,4.77
20,1.11885E+12,65.28,649.875,40.88,-0.06,7,5.28,4.72,0.062083597,2.536347393,40.80124192,-0.003722623,-0.059884406
20,1.11885E+12,65.035,653.961,40.87,0.03,6,5.035,4.965,0.059889137,2.446206128,40.79672751,0.0017956,0.029946215
20,1.11885E+12,57.63,808.281,37.73,0.93,6,7.63,2.37,0.086898795,3.274566652,37.58763245,0.080714206,0.926490808
20,1.11885E+12,57.301,812.061,37.78,0.44,5,7.301,2.699,0.086818249,3.275874565,37.63770777,0.03815206,0.438342811
21,1.11885E+12,56.889,2165.41,58.74,0,5,6.889,3.111,0.000833333,0.048949983,58.7399796,0,0
21,1.11885E+12,26.515,74.765,26.33,0,3,6.515,3.485,0.014527509,0.382495846,26.3272216,0,0
24,1.11885E+12,18.15,2166.368,58.66,0,2,8.15,1.85,0.000666667,0.039106658,58.65998696,0,0
24,1.11885E+12,4.481,66.143,30.02,0,1,4.481,5.519,0.006508258,0.195376538,30.01936422,0,0
25,1.11885E+12,53.902,2164.407,55.1,0,5,3.902,6.098,0.000727273,0.040072717,55.09998543,0,0
25,1.11885E+12,39.394,72.315,32.25,0,4,9.394,0.606,0.006934574,0.223638229,32.24922458,0,0
26,1.11885E+12,44.149,2166.887,52.91,0,4,4.149,5.851,0.000909256,0.048108727,52.90997813,0,0
26,1.11885E+12,27.532,51.59,22.01,0,3,7.532,2.468,0.007855473,0.17289718,22.0093209,0,0
27,1.11885E+12,31.9,2165.366,43.33,0,3,1.9,8.1,0.000666667,0.02888666,43.32999037,0,0
27,1.11885E+12,15.85,48.345,23.69,0,2,5.85,4.15,0.007581263,0.179598395,23.68931921,0,0
29,1.11885E+12,20.673,2166.868,53.78,0,2,0.673,9.327,0.000909256,0.04889978,53.77997777,0,0
29,1.11885E+12,3.968,71.699,28.76,0,1,3.968,6.032,0.007972935,0.229299178,28.7590859,0,0
30,1.11885E+12,32.921,2167.842,45.12,0,3,2.921,7.079,0.000666667,0.030079993,45.11998997,0,0
30,1.11885E+12,16.301,69.11,20.33,0,2,6.301,3.699,0.007918902,0.160989591,20.32936257,0,0
31,1.11885E+12,45.434,1194.48,40.23,-0.34,5,5.434,4.566,0.069474987,2.792730834,40.13294849,-0.023602498,-0.339179778
31,1.11885E+12,45.104,1198.477,40.35,3.17,4,5.104,4.896,0.082375091,3.320077143,40.21317679,0.260833818,3.159250816
31,1.11885E+12,46.526,2149.696,52.8,0.52,5,6.526,3.474,0.046280728,2.442750213,52.74346378,0.024057388,0.519443204
31,1.11885E+12,46.286,2154.941,52.8,0,4,6.286,3.714,0.045725969,2.413489913,52.7448108,0,0
31,1.11885E+12,46.388,2165.378,52.8,0,5,6.388,3.612,0.0008,0.042239986,52.7999831,0,0
31,1.11885E+12,39.295,73.862,30,0,4,9.295,0.705,0.003391307,0.101739014,29.99982749,0,0
32,1.11885E+12,29.425,2165.387,44.06,0,3,9.425,0.575,0.000888889,0.039164429,44.05998259,0,0
32,1.11885E+12,4.097,69.656,30,0,1,4.097,5.903,0.012084932,0.36253914,29.99780934,0,0
33,1.11885E+12,64.937,613.189,42.71,-0.17,7,4.937,5.063,0.047460823,2.026290821,42.66190626,-0.008065311,-0.169808571
33,1.11885E+12,64.735,617.456,42.72,0.3,6,4.735,5.265,0.047304735,2.020104661,42.67221083,0.014186128,0.299664402
33,1.11885E+12,57.687,737.75,39.96,0,6,7.687,2.313,0.10013881,3.994862421,39.7598123,0,0
33,1.11885E+12,57.359,741.751,39.93,-0.62,5,7.359,2.641,0.081796591,3.262496965,39.79649499,-0.050657353,-0.617927045
33,1.11885E+12,57.021,2123.105,50.11,0,5,7.021,2.979,0.00080016,0.040096006,50.10998396,0,0
33,1.11885E+12,16.719,74.685,15,0,2,6.719,3.281,0.019672138,0.295063039,14.99709765,0,0
34,1.11885E+12,44.688,2164.411,54.76,0,4,4.688,5.312,0.00079984,0.043799226,54.75998248,0,0
34,1.11885E+12,27.637,72.784,24.1,0,3,7.637,2.363,0.008151847,0.196457326,24.09919925,0,0
35,1.11885E+12,69.196,1423.196,87.37,0,8,9.196,0.804,0.065788159,5.743766078,87.18099593,0,0
35,1.11885E+12,3.233,50.211,19.5,0,1,3.233,6.767,0.048006583,0.935768843,19.47753415,0,0
35,1.11885E+12,65.276,646.694,44.31,4.04,7,5.276,4.724,0.023235735,1.029482794,44.29803907,0.093863924,4.038909452
35,1.11885E+12,65.2,651.143,44.66,3.87,6,5.2,4.8,0.017080829,0.762792736,44.65348528,0.066099594,3.869435468
35,1.11885E+12,57.698,1200.546,45.36,-3.35,6,7.698,2.302,0.070574144,3.198586426,45.24708438,-0.236227172,-3.341660773
35,1.11885E+12,57.222,1205.081,44.94,-5.45,5,7.222,2.778,0.10457849,4.691195394,44.69447713,-0.568914439,-5.420224752
35,1.11885E+12,45.823,1348.687,32.74,3.75,5,5.823,4.177,0.135141571,4.411079601,32.44148543,0.505239722,3.715808502
35,1.11885E+12,45.369,1351.963,33.26,6.2,4,5.369,4.631,0.137706538,4.565657629,32.94514183,0.851084705,6.141307257
35,1.11885E+12,35.347,2034.823,30.98,-0.4,4,5.347,4.653,0.075909291,2.349412024,30.89078606,-0.030334565,-0.398848109
35,1.11885E+12,35.11,2037.917,30.95,-0.17,3,5.11,4.89,0.076450578,2.363841175,30.85959745,-0.012983942,-0.169503443
36,1.11885E+12,65.354,653.852,35.74,0,7,5.354,4.646,0.036357782,1.299140867,35.71638046,0,0
36,1.11885E+12,65.224,657.425,35.74,0,6,5.224,4.776,0.036367949,1.299503986,35.71636725,0,0
36,1.11885E+12,57.481,1020.082,38.6,0,6,7.481,2.519,0.071878031,2.772103562,38.50033041,0,0
36,1.11885E+12,57.215,1023.942,38.6,0,5,7.215,2.785,0.068803143,2.653706433,38.5086723,0,0
36,1.11885E+12,57.357,1065.726,52.39,11.2,6,7.357,2.643,0.119271128,6.233809874,52.0178019,1.332671704,11.12043102
36,1.11885E+12,56.789,1071.082,54.99,6.51,5,6.789,3.211,0.105654392,5.799131831,54.68336283,0.686531155,6.473698709
37,1.11885E+12,23.134,204.851,46.5,9.98,3,3.134,6.866,0.082090812,3.812936893,46.34340851,0.818346456,9.946391762
37,1.11885E+12,22.73,209.55,47.61,11.2,2,2.73,7.27,0.085764835,4.078259813,47.43500708,0.959388992,11.15883384
37,1.11885E+12,45.434,1163.575,42,0.11,5,5.434,4.566,0.043750318,1.836927227,41.95981051,0.004811,0.109894742
37,1.11885E+12,45.24,1167.777,42.01,-0.05,4,5.24,4.76,0.04613573,1.937474522,41.96529867,-0.002305968,-0.049946797
38,1.11885E+12,42.449,2165.396,45.06,0,4,2.449,7.551,0.000888889,0.040053318,45.0599822,0,0
38,1.11885E+12,5.933,68.704,25,0,1,5.933,4.067,0.017414245,0.435334127,24.9962094,0,0
39,1.11885E+12,35.286,2034.485,21.59,-1.13,4,5.286,4.714,0.14008429,3.01453784,21.37850934,-0.157778034,-1.118930781
39,1.11885E+12,35.011,2036.635,21.51,-0.56,3,5.011,4.989,0.127216217,2.729045776,21.33617607,-0.071049076,-0.555474598
40,1.11885E+12,35.166,757.084,50.5,6.28,4,5.166,4.834,0.106212024,5.353628219,50.21542258,0.665758123,6.244610966
40,1.11885E+12,34.593,762.136,51.33,10.63,3,4.593,5.407,0.112937793,5.784781175,51.00299214,1.197978256,10.56227949
40,1.11885E+12,33.293,2126.598,66.81,0,3,3.293,6.707,0.000615385,0.041113838,66.80998735,0,0
40,1.11885E+12,17.117,72.731,15.89,0,2,7.117,2.883,0.007875712,0.125143774,15.8895072,0,0
42,1.11885E+12,62.221,614.193,42.49,8.43,7,2.221,7.779,0.015928277,0.676763879,42.48461004,0.134269699,8.428930635
42,1.11885E+12,62.156,618.486,43.32,8.24,6,2.156,7.844,0.01513977,0.655829792,43.31503535,0.124746941,8.239055662
42,1.11885E+12,57.439,716.091,39.43,0.12,6,7.439,2.561,0.149212785,5.861652382,38.99187007,0.017839165,0.118666609
42,1.11885E+12,56.855,720.032,39.44,0.29,5,6.855,3.145,0.147115139,5.781314286,39.01397192,0.042509664,0.286867441
42,1.11885E+12,46.314,2033.53,59.49,0.31,5,6.314,3.686,0.019134814,1.138260614,59.47910947,0.00593143,0.30994325
42,1.11885E+12,46.193,2039.484,59.51,-0.15,4,6.193,3.807,0.020319675,1.209140662,59.4977149,-0.003047742,-0.149969034
43,1.11885E+12,56.923,2165.884,60.11,0,5,6.923,3.077,0.000833472,0.050099999,60.10997912,0,0
43,1.11885E+12,4.94,68.642,15,0,1,4.94,5.06,0.024781288,0.371681278,14.99539439,0,0
44,1.11885E+12,53.436,2166.405,52.93,0,5,3.436,6.564,0.000727273,0.038494535,52.929986,0,0
44,1.11885E+12,40.102,74.344,30,0,4,0.102,9.898,0.006373533,0.19120469,29.99939067,0,0
46,1.11885E+12,65.117,647.72,45.23,-0.05,7,5.117,4.883,0.0375514,1.698050698,45.19811416,-0.001877129,-0.049964751
46,1.11885E+12,64.946,652.242,45.23,0,6,4.946,5.054,0.037797116,1.709156555,45.19769556,0,0
46,1.11885E+12,57.521,797.743,45.99,0.76,6,7.521,2.479,0.068347702,3.140864084,45.88262278,0.05190382,0.758225556
46,1.11885E+12,57.21,802.331,46.2,3.12,5,7.21,2.79,0.067681991,3.124521199,46.09422271,0.211006626,3.112856599
47,1.11885E+12,34.024,2132.064,70.46,0,3,4.024,5.976,0.029504798,2.078606469,70.42933334,0,0
47,1.11885E+12,3.97,35.16,20.67,0,1,3.97,6.03,0.014331578,0.296223568,20.66787729,0,0
48,1.11885E+12,58.005,617.835,28.24,3.52,7,8.005,1.995,0.088961443,2.50895872,28.12832605,0.312731399,3.5060803
48,1.11885E+12,57.796,620.692,28.48,1.13,5,7.796,2.204,0.073023582,2.077863789,28.40409974,0.082443332,1.126988508
48,1.11885E+12,45.225,966.414,39.4,3.46,5,5.225,4.775,0.106446838,4.18608957,39.17699139,0.367610912,3.440415995
48,1.11885E+12,44.868,970.365,39.78,4.32,4,4.868,5.132,0.090112167,3.579812615,39.61859843,0.388757931,4.302472228
48,1.11885E+12,34.812,1298.86,47.48,-7.84,4,4.812,5.188,0.032119961,1.524793534,47.45550974,-0.251777197,-7.835956115
48,1.11885E+12,34.644,1303.58,46.65,-9.26,3,4.644,5.356,0.035578201,1.659372951,46.62047813,-0.329384641,-9.254139925
48,1.11885E+12,24.021,1672.636,51.51,-0.18,3,4.021,5.979,0.08644552,4.447264975,51.31765714,-0.015540821,-0.179327864
48,1.11885E+12,23.574,1677.765,51.69,2.97,2,3.574,6.426,0.086931842,4.487849371,51.49480855,0.2578625,2.958784705
49,1.11885E+12,23.546,789.317,57.59,10.91,3,3.546,6.454,0.022982442,1.3234423,57.57479136,0.250716366,10.90711884
49,1.11885E+12,23.383,795.139,58.6,9.56,2,3.383,6.617,0.02798994,1.639996329,58.5770468,0.267548889,9.556255417
49,1.11885E+12,24.209,2127.619,65.07,0,3,4.209,5.791,0.000769349,0.050061533,65.06998074,0,0
49,1.11885E+12,9.046,64.176,29.75,0,1,9.046,0.954,0.007348266,0.218608932,29.7491968,0,0
50,1.11885E+12,20.389,2164.882,51.79,0,2,0.389,9.611,0.001,0.051789974,51.78997411,0,0
50,1.11885E+12,3.127,45.133,15.26,0,1,3.127,6.873,0.008143237,0.124264423,15.25949404,0,0
51,1.11885E+12,34.688,1170.433,45.79,-3.35,4,4.688,5.312,0.044869602,2.053889759,45.74391366,-0.150262736,-3.34662832
51,1.11885E+12,34.476,1174.981,45.55,-1.18,3,4.476,5.524,0.046580178,2.120959954,45.50059372,-0.054944736,-1.178720101
53,1.11885E+12,73.475,1479.134,69.09,0,8,3.475,6.525,0.017800985,1.229805127,69.07905384,0,0
53,1.11885E+12,14.346,57.891,23.99,0,2,4.346,5.654,0.041579744,0.997210666,23.96926513,0,0
53,1.11885E+12,13.129,1533.25,50.04,-0.94,2,3.129,6.871,0.037875775,1.894850645,50.00411124,-0.035594716,-0.939325831
53,1.11885E+12,12.797,1538.251,49.97,-0.97,1,2.797,7.203,0.066289453,3.31005851,49.86024882,-0.064253687,-0.967869549
54,1.11885E+12,43.698,2165.385,37.52,0,4,3.698,6.302,0.000857143,0.032159988,37.51998622,0,0
54,1.11885E+12,14.868,71.686,11.81,0,2,4.868,5.132,0.013769017,0.162606958,11.80888051,0,0
55,1.11885E+12,55.186,2164.894,50.11,0,5,5.186,4.814,0.001,0.050109975,50.10997495,0,0
55,1.11885E+12,4.307,71.182,6.21,0,1,4.307,5.693,0.024296077,0.150863796,6.208167211,0,0
56,1.11885E+12,12.58,837.369,50.29,-5.35,2,2.58,7.42,0.030854403,1.551421729,50.26606401,-0.165044865,-5.347453618
56,1.11885E+12,12.414,842.339,49.95,-0.74,1,2.414,7.586,0.03338799,1.667420284,49.92216151,-0.024702523,-0.739587578
56,1.11885E+12,54.927,2162.906,50.11,0,5,4.927,5.073,0.00080016,0.040096006,50.10998396,0,0
56,1.11885E+12,27.567,74.333,18.46,0,3,7.567,2.433,0.013099104,0.241802546,18.45841628,0,0
57,1.11885E+12,58.549,647.281,38.76,0,7,8.549,1.451,0.082885008,3.208945752,38.62693707,0,0
57,1.11885E+12,58.227,651.157,38.76,0,6,8.227,1.773,0.082885008,3.208945752,38.62693707,0,0
57,1.11885E+12,57.261,662.788,37.84,-8.45,6,7.261,2.739,0.083248793,3.14649701,37.70895327,-0.702640056,-8.420736129
57,1.11885E+12,56.939,666.507,37.38,-4.01,5,6.939,3.061,0.086367027,3.224387391,37.24067301,-0.345901376,-3.995053471
57,1.11885E+12,45.52,1311.768,33.52,0,5,5.52,4.48,0.057514065,1.926808787,33.46457542,0,0
57,1.11885E+12,45.327,1315.12,33.52,0,4,5.327,4.673,0.057514065,1.926808787,33.46457542,0,0
57,1.11885E+12,35.821,1661.849,25.75,0,4,5.821,4.179,0.153349629,3.933294579,25.44782297,0,0
57,1.11885E+12,35.423,1664.425,25.75,0,3,5.423,4.577,0.153291027,3.931803285,25.44805342,0,0
57,1.11885E+12,23.872,1812.193,29.01,-0.06,3,3.872,6.128,0.098610524,2.856057313,28.86906712,-0.005907047,-0.059708515
57,1.11885E+12,23.585,1815.092,29.01,0.11,2,3.585,6.415,0.098678114,2.858008569,28.86887402,0.010836985,0.109464879
58,1.11885E+12,31.161,2166.877,38.66,0,3,1.161,8.839,0.001,0.038659981,38.65998067,0,0
58,1.11885E+12,16.553,68.714,18,0,2,6.553,3.447,0.006962168,0.125318017,17.99956376,0,0
60,1.11885E+12,56.082,2122.65,57.63,0,5,6.082,3.918,0.000833333,0.048024983,57.62997999,0,0
60,1.11885E+12,2.174,72.085,23.01,0,1,2.174,7.826,0.026283286,0.604708778,23.00205268,0,0
60,1.11885E+12,11.76,83.55,35,0,2,1.76,8.24,0.019140519,0.669877273,34.9935889,0,0
60,1.11885E+12,11.691,87.049,35,0,1,1.691,8.309,0.019717364,0.690063038,34.99319667,0,0
60,1.11885E+12,11.329,196.129,42.71,2.84,2,1.329,8.671,0.018559899,0.792647763,42.70264406,0.052707086,2.839510867
60,1.11885E+12,11.238,200.412,43.06,3.48,1,1.238,8.762,0.021243593,0.91468033,43.05028409,0.073922145,3.479214784
60,1.11885E+12,13.213,1019.536,52.97,0.2,2,3.213,6.787,0.021908092,1.160378822,52.95728865,0.004381268,0.199952005
60,1.11885E+12,13.099,1024.836,52.97,-0.02,1,3.099,6.901,0.021506118,1.139091244,52.95775081,-0.000430089,-0.019995375
60,1.11885E+12,12.604,2028.836,57.36,-10.45,2,2.604,7.396,0.008087932,0.463918744,57.35812392,-0.084517972,-10.44965821
60,1.11885E+12,12.515,2034.523,56.27,-11.2,1,2.515,7.485,0.01564845,0.880502346,56.26311061,-0.175255487,-11.19862873
61,1.11885E+12,23.173,362.821,31.66,0,3,3.173,6.827,0.054903705,1.737378116,31.61229377,0,0
61,1.11885E+12,22.999,365.987,31.66,0,2,2.999,7.001,0.054903705,1.737378116,31.61229377,0,0
61,1.11885E+12,64.973,647.12,46.94,0.32,7,4.973,5.027,0.041332235,1.939582747,46.89991065,0.01322255,0.319726702
61,1.11885E+12,64.78,651.819,46.95,-0.06,6,4.78,5.22,0.041049496,1.926732626,46.91044874,-0.002462278,-0.059949455
61,1.11885E+12,57.653,829.755,46.11,2.05,6,7.653,2.347,0.037975655,1.750636596,46.07675522,0.077831382,2.048521974
61,1.11885E+12,57.389,834.384,46.26,0.84,5,7.389,2.611,0.056970042,2.634008809,46.1849499,0.047828954,0.838637223
62,1.11885E+12,43.158,2182.836,63.29,0,4,3.158,6.842,0.011007307,0.696638415,63.2861659,0,0
62,1.11885E+12,25.587,27.557,17.26,0,3,5.587,4.413,0.00815236,0.140708178,17.25942644,0,0
62,1.11885E+12,33.674,2165.879,40.04,0,3,3.674,6.326,0.000749812,0.030022486,40.03998874,0,0
62,1.11885E+12,6.088,70.222,15,0,1,6.088,3.912,0.013162653,0.197434101,14.9987006,0,0
63,1.11885E+12,65.486,613.723,63.83,0.1,7,5.486,4.514,0.015498994,0.989261159,63.82233357,0.001549837,0.099987989
63,1.11885E+12,65.405,620.132,63.6,-3.37,6,5.405,4.595,0.012637804,0.803742957,63.59492116,-0.042588267,-3.369730885
63,1.11885E+12,57.834,825.288,48.71,-11.2,6,7.834,2.166,0.06809935,3.314556087,48.59709681,-0.762123346,-11.17403991
63,1.11885E+12,57.52,830.069,47.82,-5.68,5,7.52,2.48,0.06558245,3.133905114,47.71719856,-0.372241344,-5.667789373
63,1.11885E+12,45.476,1144.015,47.75,-10.26,5,5.476,4.524,0.019556905,0.933782691,47.74086876,-0.200641056,-10.25803798
63,1.11885E+12,45.291,1148.726,46.92,-7.8,4,5.291,4.709,0.039249627,1.841119675,46.88386373,-0.306068488,-7.793992692
63,1.11885E+12,46.279,2049.397,35,0,5,6.279,3.721,0.011707061,0.409737768,34.99760156,0,0
63,1.11885E+12,46.238,2052.897,35,0,4,6.238,3.762,0.01171375,0.409971872,34.99759882,0,0
63,1.11885E+12,45.663,2163.888,35.02,0,4,5.663,4.337,0.001142857,0.040022831,35.01997713,0,0
63,1.11885E+12,16.03,67.133,19.5,0,2,6.03,3.97,0.01413185,0.275561904,19.49805287,0,0
64,1.11885E+12,23.452,979.47,57.27,2.45,3,3.452,6.548,0.046668905,2.671758112,57.20764467,0.114297318,2.44733245
64,1.11885E+12,23.24,985.215,57.46,1.47,2,3.24,6.76,0.036884917,2.118926802,57.42091735,0.054208535,1.469000148
64,1.11885E+12,57.652,2163.398,54.94,0,5,7.652,2.348,0.000909091,0.049945434,54.9399773,0,0
64,1.11885E+12,27.337,72.248,20.32,0,3,7.337,2.663,0.014495793,0.294544189,20.31786514,0,0
67,1.11885E+12,33.393,57.57,28.45,0,4,3.393,6.607,0.106450214,3.022792154,28.28895946,0,0
67,1.11885E+12,33.091,60.44,28.22,-3.76,3,3.091,6.909,0.104840663,2.953186554,28.06505103,-0.393479144,-3.739354779
67,1.11885E+12,23.417,547.548,31.37,-2.87,3,3.417,6.583,0.119564982,3.741823214,31.14603761,-0.34233448,-2.849509976
67,1.11885E+12,23.046,550.691,30.98,-5.8,2,3.046,6.954,0.117496392,3.631668624,30.76640023,-0.679912137,-5.760010372
69,1.11885E+12,12.557,827.724,46.73,-11,2,2.557,7.443,0.028527452,1.332907034,46.71098649,-0.313759413,-10.99552432
69,1.11885E+12,12.45,832.318,45.82,-7.36,1,2.45,7.55,0.023287039,1.066915698,45.80757678,-0.171377118,-7.358004477
69,1.11885E+12,42.924,2165.874,35.02,0,4,2.924,7.076,0.000571265,0.020005709,35.01999429,0,0
